Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P25043	proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; proteasome storage granule [GO:0034515]
P10363	DNA replication [GO:0006260]; DNA replication, synthesis of RNA primer [GO:0006269]; DNA replication initiation [GO:0006270]; lagging strand elongation [GO:0006273]	ATP binding [GO:0005524]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]	alpha DNA polymerase:primase complex [GO:0005658]; nuclear replication fork [GO:0043596]
Q9ZZW2			mitochondrion [GO:0005739]
Q9ZZW1			mitochondrion [GO:0005739]
Q03956	protein transport [GO:0015031]; regulation of protein-containing complex assembly [GO:0043254]; vacuolar acidification [GO:0007035]		early endosome membrane [GO:0031901]; RAVE complex [GO:0043291]
Q06109	mitochondrial genome maintenance [GO:0000002]; mitochondrial tRNA 5'-end processing [GO:0097745]		matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrion [GO:0005739]
P38766	DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; G-quadruplex DNA unwinding [GO:0044806]; mitochondrial genome maintenance [GO:0000002]; ncRNA transcription [GO:0098781]; replication fork progression beyond termination site [GO:0097046]; replication fork reversal [GO:0071932]; telomere maintenance [GO:0000723]	5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; G-quadruplex DNA binding [GO:0051880]	chromosome, telomeric region [GO:0000781]; nuclear replication fork [GO:0043596]; replication fork [GO:0005657]
P0CX52	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; translational termination [GO:0006415]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; small ribosomal subunit [GO:0015935]
P38165	autophagy of mitochondrion [GO:0000422]; cellular response to oleic acid [GO:0071400]; mitochondria-nucleus signaling pathway [GO:0031930]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; sequence-specific DNA binding [GO:0043565]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P46654	cytoplasmic translation [GO:0002181]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]; translational termination [GO:0006415]	structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
Q03919	modification-dependent protein catabolic process [GO:0019941]; protein neddylation [GO:0045116]; regulation of proteolysis [GO:0030162]	protein tag [GO:0031386]; ubiquitin protein ligase binding [GO:0031625]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53305	mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
P42847	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; mitochondrial translation [GO:0032543]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
P38804	RNA metabolic process [GO:0016070]; rRNA processing [GO:0006364]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q05543	DNA damage response, detection of DNA damage [GO:0042769]; mRNA 3'-end processing [GO:0031124]; negative regulation of transposition, RNA-mediated [GO:0010526]	DNA binding [GO:0003677]; RNA polymerase II complex binding [GO:0000993]	chromatin [GO:0000785]; RNA polymerase II, holoenzyme [GO:0016591]; site of double-strand break [GO:0035861]
P35179	posttranslational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; protein transmembrane transporter activity [GO:0008320]; structural molecule activity [GO:0005198]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]; Sec61 translocon complex [GO:0005784]; Ssh1 translocon complex [GO:0071261]
Q08986	amino acid transmembrane transport [GO:0003333]; putrescine transport [GO:0015847]; S-adenosyl-L-methionine transport [GO:0015805]; spermidine transport [GO:0015848]	amino acid transmembrane transporter activity [GO:0015171]; putrescine transmembrane transporter activity [GO:0015489]; S-adenosyl-L-methionine transmembrane transporter activity [GO:0000095]; spermidine transmembrane transporter activity [GO:0015606]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P53189	carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	1,3-beta-glucanosyltransferase activity [GO:0042124]; glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]	cell periphery [GO:0071944]; cell surface [GO:0009986]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P42223	fungal-type cell wall organization [GO:0031505]; protein transport [GO:0015031]		Golgi apparatus [GO:0005794]
Q08230	ascospore formation [GO:0030437]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; mitochondrial respiratory chain complex II assembly [GO:0034553]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-FAD linkage [GO:0018293]; protein flavinylation [GO:0017013]; tricarboxylic acid cycle [GO:0006099]		mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q03323	chromatin silencing at telomere [GO:0006348]; histone H3-K4 methylation [GO:0051568]		chromosome, telomeric region [GO:0000781]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]
P25365	positive regulation of GTPase activity [GO:0043547]; protein secretion [GO:0009306]; regulation of COPII vesicle coating [GO:0003400]; vesicle-mediated transport [GO:0016192]	GTPase activator activity [GO:0005096]	cytoplasm [GO:0005737]; Golgi membrane [GO:0000139]; integral component of endoplasmic reticulum membrane [GO:0030176]
Q99287	endoplasmic reticulum inheritance [GO:0048309]; endoplasmic reticulum membrane fusion [GO:0016320]; endoplasmic reticulum organization [GO:0007029]; membrane organization [GO:0061024]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	cell periphery [GO:0071944]; cellular bud [GO:0005933]; cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q04053	protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol binding [GO:0035091]	cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]
Q02775	generation of catalytic spliceosome for second transesterification step [GO:0000350]; RNA splicing [GO:0008380]	pre-mRNA 3'-splice site binding [GO:0030628]; second spliceosomal transesterification activity [GO:0000386]; zinc ion binding [GO:0008270]	spliceosomal complex [GO:0005681]; U2-type post-spliceosomal complex [GO:0071021]
Q12306	protein sumoylation [GO:0016925]	identical protein binding [GO:0042802]; protein tag [GO:0031386]; ubiquitin-like protein ligase binding [GO:0044389]	condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]; septin ring [GO:0005940]
Q07798	ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]	calcium activated cation channel activity [GO:0005227]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P25554	cellular protein localization [GO:0034613]; heterochromatin organization involved in chromatin silencing [GO:0070868]; histone H3 acetylation [GO:0043966]; histone H3-K14 acetylation [GO:0044154]; histone H3-K18 acetylation [GO:0043971]; histone H3-K9 acetylation [GO:0043970]; positive regulation of transcription by RNA polymerase II [GO:0045944]; SAGA complex localization to transcription regulatory region [GO:0072742]	methylated histone binding [GO:0035064]	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; SAGA complex [GO:0000124]
P40073	establishment of cell polarity [GO:0030010]; osmosensory signaling pathway [GO:0007231]; signal transduction involved in filamentous growth [GO:0001402]	MAP-kinase scaffold activity [GO:0005078]; osmosensor activity [GO:0005034]	cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; HICS complex [GO:0044697]; integral component of membrane [GO:0016021]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
P33336	(1->6)-beta-D-glucan biosynthetic process [GO:0006078]; fungal-type cell wall organization [GO:0031505]; sphingolipid biosynthetic process [GO:0030148]	glucosidase activity [GO:0015926]	integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38751	DNA recombinase assembly [GO:0000730]; maintenance of rDNA [GO:0043007]; recombinational repair [GO:0000725]		nucleolus [GO:0005730]; Shu complex [GO:0097196]; site of double-strand break [GO:0035861]
P42843	cellular protein catabolic process [GO:0044257]; protein ubiquitination [GO:0016567]; regulation of sulfur amino acid metabolic process [GO:0031335]	protein-macromolecule adaptor activity [GO:0030674]	cytoplasm [GO:0005737]; SCF ubiquitin ligase complex [GO:0019005]
Q12020	nucleobase-containing compound metabolic process [GO:0006139]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q05471	ATP-dependent chromatin remodeling [GO:0043044]; chromatin remodeling [GO:0006338]; gene silencing [GO:0016458]; histone exchange [GO:0043486]; recombinational repair [GO:0000725]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; histone binding [GO:0042393]; nucleosome-dependent ATPase activity [GO:0070615]; structural molecule activity [GO:0005198]	cytosol [GO:0005829]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
P23615	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; chromatin maintenance [GO:0070827]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome assembly [GO:0006334]; nucleosome organization [GO:0034728]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; regulation of histone H3-K36 methylation [GO:0000414]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of mRNA processing [GO:0050684]; regulation of nucleosome density [GO:0060303]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; transcription antitermination [GO:0031564]; transcription elongation from RNA polymerase II promoter [GO:0006368]	DNA binding [GO:0003677]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; transcription antitermination factor activity, DNA binding [GO:0001073]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; transcriptionally active chromatin [GO:0035327]; transcription elongation factor complex [GO:0008023]
P46675	establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]	microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]	cell cortex [GO:0005938]; condensed nuclear chromosome kinetochore [GO:0000778]; kinetochore [GO:0000776]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]; spindle pole body [GO:0005816]
Q12427	positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P08459	ascospore wall assembly [GO:0030476]; fungal-type cell wall organization [GO:0031505]		anchored component of membrane [GO:0031225]; cell wall [GO:0005618]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]
P15179	mitochondrial aspartyl-tRNA aminoacylation [GO:0070146]	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P18898	protein geranylgeranylation [GO:0018344]; protein prenylation [GO:0018342]	CAAX-protein geranylgeranyltransferase activity [GO:0004662]; zinc ion binding [GO:0008270]	CAAX-protein geranylgeranyltransferase complex [GO:0005953]; cytoplasm [GO:0005737]
P32522	mitochondrial cytochrome c oxidase assembly [GO:0033617]; positive regulation of mitochondrial translational initiation [GO:0070134]; tRNA 3'-end processing [GO:0042780]	mRNA binding [GO:0003729]; translation regulator activity [GO:0045182]; tRNA binding [GO:0000049]	extrinsic component of mitochondrial inner membrane [GO:0031314]; integral component of membrane [GO:0016021]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P27616	'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]	ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
